Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,6937.65,7006.91,6924.08,7006.9,0
1/3/2018 16:00:00,7017.07,7069.15,7016.7,7065.53,0
1/4/2018 16:00:00,7089.5,7098.05,7072.38,7077.92,0
1/5/2018 16:00:00,7105.74,7137.04,7097.08,7136.56,0
1/8/2018 16:00:00,7135.38,7161.35,7124.09,7157.39,0
1/9/2018 16:00:00,7174.19,7181.14,7148.3,7163.58,0
1/10/2018 16:00:00,7129.66,7154.24,7111.52,7153.57,0
1/11/2018 16:00:00,7168.29,7211.78,7163.23,7211.78,0
1/12/2018 16:00:00,7208.17,7265.26,7205.18,7261.06,0
1/16/2018 16:00:00,7307,7330,7206,7223.69,0
1/17/2018 16:00:00,7257.77,7309.36,7229.32,7298.28,0
1/18/2018 16:00:00,7293.65,7313.89,7276.11,7296.05,0
1/19/2018 16:00:00,7312,7336.38,7297.29,7336.38,0
1/22/2018 16:00:00,7338.04,7408.03,7332.81,7408.03,0
1/23/2018 16:00:00,7424.95,7465.39,7423.18,7460.29,0
1/24/2018 16:00:00,7474.16,7486.32,7376.75,7415.06,0
1/25/2018 16:00:00,7457.95,7458.53,7388.58,7411.16,0
1/26/2018 16:00:00,7448.33,7505.77,7431.22,7505.77,0
1/29/2018 16:00:00,7484.47,7500.61,7455.55,7466.51,0
1/30/2018 16:00:00,7388.89,7433.65,7373.99,7402.48,0
1/31/2018 16:00:00,7443.25,7453.99,7381.13,7411.48,0
2/1/2018 16:00:00,7377.17,7441.09,7362.28,7385.86,0
2/2/2018 16:00:00,7347.59,7364.43,7238.18,7240.95,0
2/5/2018 16:00:00,7163.41,7277.36,6967.53,6967.53,0
2/6/2018 16:00:00,6837.56,7126.55,6824.82,7115.88,0
2/7/2018 16:00:00,7086.2,7170.34,7051.53,7051.98,0
2/8/2018 16:00:00,7067.3,7073.99,6776.77,6777.16,0
2/9/2018 16:00:00,6863.34,6917.01,6630.67,6874.49,0
2/12/2018 16:00:00,6936.68,7023.62,6879.69,6981.96,0
2/13/2018 16:00:00,6942.16,7025.68,6938.17,7013.51,0
2/14/2018 16:00:00,6979.24,7152.05,6977.07,7143.62,0
2/15/2018 16:00:00,7200.75,7256.93,7130.39,7256.43,0
2/16/2018 16:00:00,7236.52,7303.26,7226.38,7239.47,0
2/20/2018 16:00:00,7209.03,7295.95,7206,7234.31,0
2/21/2018 16:00:00,7258.48,7338.64,7218.11,7218.23,0
2/22/2018 16:00:00,7252.47,7280.93,7194.84,7210.09,0
2/23/2018 16:00:00,7261.35,7337.83,7232.5,7337.39,0
2/26/2018 16:00:00,7373.3,7421.85,7360.25,7421.46,0
2/27/2018 16:00:00,7416.17,7438.09,7330.35,7330.35,0
2/28/2018 16:00:00,7371.41,7386.8,7273.01,7273.01,0
3/1/2018 16:00:00,7274.75,7307.85,7117.66,7180.56,0
3/2/2018 16:00:00,7099.54,7267.19,7084.83,7257.87,0
3/5/2018 16:00:00,7222.89,7350.07,7205.31,7330.71,0
3/6/2018 16:00:00,7366.61,7378.03,7319.68,7372.01,0
3/7/2018 16:00:00,7311.74,7403.79,7311.74,7396.65,0
3/8/2018 16:00:00,7422.77,7435.01,7391.5,7427.95,0
3/9/2018 16:00:00,7475.98,7560.81,7469.03,7560.81,0
3/12/2018 16:00:00,7581.04,7609.1,7563.44,7588.33,0
3/13/2018 16:00:00,7627.52,7637.27,7492.98,7511.01,0
3/14/2018 16:00:00,7539.78,7544.89,7473.9,7496.81,0
3/15/2018 16:00:00,7509.24,7525.44,7463.19,7481.74,0
3/16/2018 16:00:00,7504.37,7514.21,7473.68,7481.99,0
3/19/2018 16:00:00,7419.2,7421.23,7285.27,7344.24,0
3/20/2018 16:00:00,7353.25,7380.74,7331.24,7364.3,0
3/21/2018 16:00:00,7347.5,7415.66,7325.35,7345.29,0
3/22/2018 16:00:00,7257.55,7303.19,7164.38,7166.68,0
3/23/2018 16:00:00,7170.68,7194.31,6992.67,6992.67,0
3/26/2018 16:00:00,7125.2,7225.84,7022.34,7220.54,0
3/27/2018 16:00:00,7255.47,7255.54,6963.68,7008.81,0
3/28/2018 16:00:00,6978.3,7036.09,6901.07,6949.23,0
3/29/2018 16:00:00,6984.66,7120.46,6935.78,7063.45,0
4/2/2018 16:00:00,7016.17,7044.71,6805.96,6870.12,0
4/3/2018 16:00:00,6924.35,6963.71,6835.24,6941.28,0
4/4/2018 16:00:00,6815.25,7059.29,6811.77,7042.11,0
4/5/2018 16:00:00,7099.25,7112.38,7036.62,7076.55,0
4/6/2018 16:00:00,6999.57,7066.64,6877.76,6915.11,0
4/9/2018 16:00:00,6971.45,7074.95,6944.96,6950.34,0
4/10/2018 16:00:00,7060.99,7117.98,7014.88,7094.3,0
4/11/2018 16:00:00,7055,7128.54,7055,7069.03,0
4/12/2018 16:00:00,7112.02,7166,7105.09,7140.25,0
4/13/2018 16:00:00,7179.62,7183.62,7078.14,7106.65,0
4/16/2018 16:00:00,7153.87,7178.51,7115.85,7156.29,0
4/17/2018 16:00:00,7215.12,7298.59,7206.55,7281.1,0
4/18/2018 16:00:00,7292.38,7319.58,7259.9,7295.24,0
4/19/2018 16:00:00,7258.62,7277.45,7215.18,7238.06,0
4/20/2018 16:00:00,7220.64,7222.99,7123.49,7146.13,0
4/23/2018 16:00:00,7173.99,7195.72,7094.43,7128.6,0
4/24/2018 16:00:00,7160.77,7171.67,6961.52,7007.35,0
4/25/2018 16:00:00,7009.99,7030.74,6926.98,7003.74,0
4/26/2018 16:00:00,7080.49,7143.94,7055.66,7118.68,0
4/27/2018 16:00:00,7195.52,7197.16,7083.95,7119.8,0
4/30/2018 16:00:00,7133.95,7169.8,7065.41,7066.27,0
5/1/2018 16:00:00,7053.65,7133.27,7036.18,7130.7,0
5/2/2018 16:00:00,7138.45,7169.46,7094.72,7100.9,0
5/3/2018 16:00:00,7065.03,7112.59,6991.14,7088.15,0
5/4/2018 16:00:00,7065.67,7228.26,7057.89,7209.62,0
5/7/2018 16:00:00,7241.82,7291.74,7235.76,7265.21,0
5/8/2018 16:00:00,7255.34,7278.81,7224.7,7266.9,0
5/9/2018 16:00:00,7281.53,7344.8,7259.05,7339.91,0
5/10/2018 16:00:00,7355.9,7414.15,7353.63,7404.98,0
5/11/2018 16:00:00,7393.97,7417.67,7372.26,7402.88,0
5/14/2018 16:00:00,7429.45,7458.42,7401.89,7411.32,0
5/15/2018 16:00:00,7361.3,7363.52,7320.97,7351.63,0
5/16/2018 16:00:00,7356.22,7413.32,7356.16,7398.3,0
5/17/2018 16:00:00,7379.58,7425.39,7350.46,7382.47,0
5/18/2018 16:00:00,7364.34,7381.16,7343.97,7354.34,0
5/21/2018 16:00:00,7406.34,7431.83,7368.21,7394.04,0
5/22/2018 16:00:00,7420.85,7432.53,7370.33,7378.46,0
5/23/2018 16:00:00,7335.03,7426.78,7334.62,7425.96,0
5/24/2018 16:00:00,7421.99,7435.38,7357.5,7424.43,0
5/25/2018 16:00:00,7422.2,7452.85,7415.58,7433.85,0
5/29/2018 16:00:00,7398.51,7435.13,7354.29,7396.59,0
5/30/2018 16:00:00,7428.41,7473.81,7423.67,7462.45,0
5/31/2018 16:00:00,7455.58,7492.42,7431.42,7442.12,0
6/1/2018 16:00:00,7487.66,7557.38,7487.23,7554.33,0
6/4/2018 16:00:00,7570.08,7607.17,7561.2,7606.46,0
6/5/2018 16:00:00,7621.36,7644.48,7602.38,7637.86,0
6/6/2018 16:00:00,7652.81,7691.65,7622.32,7689.24,0
6/7/2018 16:00:00,7697.41,7697.41,7597.66,7635.07,0
6/8/2018 16:00:00,7607.74,7653.58,7595.14,7645.51,0
6/11/2018 16:00:00,7647.24,7677.29,7642.87,7659.93,0
6/12/2018 16:00:00,7673.87,7708.25,7669.53,7703.79,0
6/13/2018 16:00:00,7713.9,7748.96,7686.65,7695.7,0
6/14/2018 16:00:00,7723.53,7768.6,7723.53,7761.04,0
6/15/2018 16:00:00,7725.03,7755.72,7704.34,7746.38,0
6/18/2018 16:00:00,7692.96,7749.36,7676.83,7747.03,0
6/19/2018 16:00:00,7658.47,7727.41,7635.73,7725.59,0
6/20/2018 16:00:00,7764.15,7806.6,7755.48,7781.52,0
6/21/2018 16:00:00,7800.3,7803.45,7699.2,7712.95,0
6/22/2018 16:00:00,7739.69,7739.71,7679.12,7692.82,0
6/25/2018 16:00:00,7631.12,7639.73,7477.73,7532.01,0
6/26/2018 16:00:00,7553.74,7597.49,7527,7561.63,0
6/27/2018 16:00:00,7586.33,7610.67,7444.17,7445.09,0
6/28/2018 16:00:00,7438.11,7526.07,7419.56,7503.68,0
6/29/2018 16:00:00,7544.13,7573.59,7502.95,7510.3,0
7/2/2018 16:00:00,7451.9,7568.1,7443.1,7567.69,0
7/3/2018 13:00:00,7593.63,7594.33,7498.5,7502.67,0
7/5/2018 16:00:00,7550.66,7589.19,7511.43,7586.43,0
7/6/2018 16:00:00,7595.93,7695.81,7588.65,7688.39,0
7/9/2018 16:00:00,7731.75,7757.28,7702.06,7756.2,0
7/10/2018 16:00:00,7770.63,7777.48,7731.98,7759.2,0
7/11/2018 16:00:00,7698.51,7748.17,7696.58,7716.61,0
7/12/2018 16:00:00,7752.71,7825.67,7746.76,7823.92,0
7/13/2018 16:00:00,7827.62,7843.53,7803.34,7825.98,0
7/16/2018 16:00:00,7831.74,7838.82,7791.98,7805.72,0
7/17/2018 16:00:00,7751.98,7867.15,7749.61,7855.12,0
7/18/2018 16:00:00,7859.43,7863.77,7822.83,7854.44,0
7/19/2018 16:00:00,7829.8,7849.85,7811.15,7825.3,0
7/20/2018 16:00:00,7843.08,7860.25,7815.86,7820.2,0
7/23/2018 16:00:00,7806.93,7846.76,7776.55,7841.87,0
7/24/2018 16:00:00,7914.35,7928.79,7814.33,7840.77,0
7/25/2018 16:00:00,7839.09,7933.31,7838.76,7932.24,0
7/26/2018 16:00:00,7848.04,7881.3,7834.08,7852.19,0
7/27/2018 16:00:00,7889.75,7889.75,7698.96,7737.42,0
7/30/2018 16:00:00,7735.27,7740.26,7604.24,7630,0
7/31/2018 16:00:00,7654.59,7709.49,7614.84,7671.79,0
8/1/2018 16:00:00,7701.82,7732.68,7670.71,7707.29,0
8/2/2018 16:00:00,7659.52,7808.85,7659.52,7802.69,0
8/3/2018 16:00:00,7819.23,7824.06,7783.3,7812.02,0
8/6/2018 16:00:00,7809.54,7859.68,7801.88,7859.68,0
8/7/2018 16:00:00,7878.62,7898.2,7868.65,7883.66,0
8/8/2018 16:00:00,7880,7901.69,7864.46,7888.33,0
8/9/2018 16:00:00,7886.52,7923.35,7881.06,7891.78,0
8/10/2018 16:00:00,7834.71,7866.19,7818.37,7839.11,0
8/13/2018 16:00:00,7848,7888.66,7814.27,7819.71,0
8/14/2018 16:00:00,7847.88,7878.23,7815.5,7870.89,0
8/15/2018 16:00:00,7810.02,7832.66,7732.69,7774.12,0
8/16/2018 16:00:00,7826.95,7849.67,7795.74,7806.52,0
8/17/2018 16:00:00,7786.64,7830.78,7752.68,7816.33,0
8/20/2018 16:00:00,7834.37,7837.14,7787.9,7821.01,0
8/21/2018 16:00:00,7840.09,7897.68,7836.79,7859.17,0
8/22/2018 16:00:00,7844.04,7897.63,7840.84,7889.1,0
8/23/2018 16:00:00,7886.47,7926.32,7866.53,7878.46,0
8/24/2018 16:00:00,7907.81,7949.71,7907.11,7945.98,0
8/27/2018 16:00:00,7989.64,8024.94,7976.6,8017.9,0
8/28/2018 16:00:00,8039.01,8046.32,8009.59,8030.04,0
8/29/2018 16:00:00,8044.34,8113.56,8042.1,8109.69,0
8/30/2018 16:00:00,8094.2,8133.3,8069.57,8088.36,0
8/31/2018 16:00:00,8079.31,8119.82,8079.31,8109.54,0
9/4/2018 16:00:00,8087.96,8104.07,8042.14,8091.25,0
9/5/2018 16:00:00,8073.53,8077.84,7962.35,7995.17,0
9/6/2018 16:00:00,7998.27,8001.97,7885.49,7922.73,0
9/7/2018 16:00:00,7878.79,7962.54,7873.93,7902.54,0
9/10/2018 16:00:00,7939.57,7945.03,7890.39,7924.16,0
9/11/2018 16:00:00,7894.87,7986.32,7880.93,7972.47,0
9/12/2018 16:00:00,7958.87,7965.39,7884.05,7954.23,0
9/13/2018 16:00:00,7999.93,8037.51,7989.85,8013.71,0
9/14/2018 16:00:00,8026.16,8040.83,7979.78,8010.04,0
9/17/2018 16:00:00,7992.21,8002.78,7890.07,7895.79,0
9/18/2018 16:00:00,7903.57,7986.1,7901.01,7956.11,0
9/19/2018 16:00:00,7962.55,7976.13,7917.73,7950.04,0
9/20/2018 16:00:00,7993.53,8039.07,7986.41,8028.23,0
9/21/2018 16:00:00,8041.69,8057.26,7979.67,7986.96,0
9/24/2018 16:00:00,7939.38,7997.9,7912.47,7993.25,0
9/25/2018 16:00:00,8001.59,8014.12,7979.29,8007.47,0
9/26/2018 16:00:00,8011.68,8067.03,7982.77,7990.37,0
9/27/2018 16:00:00,8021.22,8071.56,8017.91,8041.97,0
9/28/2018 16:00:00,8024.5,8065.06,8015.87,8046.35,0
10/1/2018 16:00:00,8091.5,8107.38,8019.77,8037.3,0
10/2/2018 16:00:00,8024.48,8054.16,7983.99,7999.55,0
10/3/2018 16:00:00,8034.65,8053.93,8012.03,8025.09,0
10/4/2018 16:00:00,7993.33,7997.17,7833.16,7879.51,0
10/5/2018 16:00:00,7874.76,7902.67,7715.97,7788.45,0
10/8/2018 16:00:00,7747.1,7797.32,7654.84,7735.95,0
10/9/2018 16:00:00,7728.51,7799.75,7718.95,7738.02,0
10/10/2018 16:00:00,7694.08,7701.2,7420.56,7422.05,0
10/11/2018 16:00:00,7388.07,7493.21,7274.04,7329.06,0
10/12/2018 16:00:00,7507.84,7516.69,7368.33,7496.89,0
10/15/2018 16:00:00,7473.33,7500.93,7400.07,7430.74,0
10/16/2018 16:00:00,7501.78,7658.14,7493.44,7645.49,0
10/17/2018 16:00:00,7669.26,7670.5,7563.09,7642.7,0
10/18/2018 16:00:00,7616.47,7616.86,7452.46,7485.14,0
10/19/2018 16:00:00,7530.16,7582.89,7428.3,7449.03,0
10/22/2018 16:00:00,7486.74,7520.54,7424.74,7468.63,0
10/23/2018 16:00:00,7328.55,7472.58,7260.13,7437.54,0
10/24/2018 16:00:00,7423.21,7435.69,7099,7108.4,0
10/25/2018 16:00:00,7197.49,7364.82,7178.54,7318.34,0
10/26/2018 16:00:00,7125.18,7283.32,7057,7167.21,0
10/29/2018 16:00:00,7272.42,7295.62,6922.83,7050.29,0
10/30/2018 16:00:00,7017.87,7166.84,7001.48,7161.65,0
10/31/2018 16:00:00,7276.62,7368.49,7270.63,7305.9,0
11/1/2018 16:00:00,7327.82,7435.88,7286.5,7434.06,0
11/2/2018 16:00:00,7424.02,7466.53,7298.68,7356.99,0
11/5/2018 16:00:00,7344.08,7349.23,7255.88,7328.85,0
11/6/2018 16:00:00,7326.07,7400.64,7320.89,7375.96,0
11/7/2018 16:00:00,7446.09,7572.93,7435.87,7570.75,0
11/8/2018 16:00:00,7544.17,7566.93,7499.71,7530.89,0
11/9/2018 16:00:00,7468.51,7474.34,7349.49,7406.9,0
11/12/2018 16:00:00,7364.05,7371.09,7193.77,7200.87,0
11/13/2018 16:00:00,7230.69,7319.12,7182.86,7200.88,0
11/14/2018 16:00:00,7265.39,7285.57,7101.17,7136.39,0
11/15/2018 16:00:00,7112.83,7274.26,7072.36,7259.03,0
11/16/2018 16:00:00,7193.6,7274.86,7171.7,7247.87,0
11/19/2018 16:00:00,7217.24,7224.12,7011.4,7028.48,0
11/20/2018 16:00:00,6867.43,6994.75,6830.76,6908.82,0
11/21/2018 16:00:00,6985.51,7029.93,6951.62,6972.25,0
11/23/2018 13:00:00,6919.52,6987.89,6919.16,6938.98,0
11/26/2018 16:00:00,7026.5,7083.93,7003.12,7081.85,0
11/27/2018 16:00:00,7041.23,7105.14,7014.36,7082.7,0
11/28/2018 16:00:00,7135.08,7292.71,7090.98,7291.59,0
11/29/2018 16:00:00,7267.37,7319.96,7217.69,7273.08,0
11/30/2018 16:00:00,7279.3,7332.79,7255.68,7330.54,0
12/3/2018 16:00:00,7486.13,7486.51,7392.22,7441.51,0
