Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,48.560001,48.799999,48.549999,48.619999,37.580437,19627100
2011-01-04,48.799999,48.830002,48.279999,48.810001,37.727303,17722700
2011-01-05,48.369999,48.759998,48.349998,48.630001,37.588173,19779300
2011-01-06,48.500000,48.540001,48.090000,48.200001,37.255806,20625400
2011-01-07,47.990002,48.080002,47.389999,47.750000,36.907993,16971400
2011-01-10,47.279999,47.340000,47.000000,47.259998,36.529247,13384900
2011-01-11,47.799999,47.860001,47.590000,47.790001,36.938908,12041300
2011-01-12,48.450001,48.880001,48.349998,48.880001,37.781403,20144400
2011-01-13,48.590000,48.619999,48.189999,48.330002,37.356293,17945000
2011-01-14,48.189999,48.470001,48.150002,48.459999,37.456768,11803500
2011-01-18,48.400002,48.480000,48.290001,48.450001,37.449039,10206100
2011-01-19,48.570000,48.570000,47.880001,48.049999,37.139858,11856700
2011-01-20,47.709999,47.730000,47.150002,47.630001,36.815239,11339800
2011-01-21,47.630001,47.720001,47.119999,47.160000,36.451946,13123400
2011-01-24,47.160000,47.520000,47.119999,47.480000,36.699287,10190200
2011-01-25,47.310001,47.389999,46.900002,47.200001,36.482864,14081700
2011-01-26,47.669998,47.790001,47.509998,47.639999,36.822964,15445600
2011-01-27,47.740002,47.810001,47.400002,47.480000,36.699287,25311200
2011-01-28,47.290001,47.299999,45.880001,46.009998,35.563061,28234100
2011-01-31,46.360001,46.669998,46.240002,46.490002,35.934086,24583000
2011-02-01,46.950001,47.580002,46.869999,47.490002,36.707012,24518200
2011-02-02,47.369999,47.720001,47.070000,47.119999,36.421028,29050400
2011-02-03,47.240002,47.299999,46.830002,47.080002,36.390110,25834700
2011-02-04,47.150002,47.180000,46.700001,47.060001,36.374649,11580900
2011-02-07,46.930000,47.230000,46.860001,46.930000,36.274162,30602900
2011-02-08,46.799999,46.849998,46.560001,46.799999,36.173695,38073700
2011-02-09,46.259998,46.259998,45.599998,45.889999,35.470314,48696000
2011-02-10,45.169998,45.520000,45.000000,45.430000,35.114769,46760500
2011-02-11,45.110001,45.970001,45.090000,45.930000,35.501225,38066800
2011-02-14,46.020000,46.099998,45.889999,45.900002,35.478050,20655700
2011-02-15,45.930000,46.150002,45.799999,45.990002,35.547604,17139000
2011-02-16,46.189999,46.430000,46.049999,46.400002,35.864506,19851900
2011-02-17,46.299999,46.680000,46.209999,46.610001,36.026821,18226600
2011-02-18,46.810001,47.000000,46.630001,46.900002,36.250984,17423300
2011-02-22,45.990002,46.189999,45.250000,45.330002,35.037464,26949100
2011-02-23,45.529999,45.689999,44.889999,45.290001,35.006538,28045200
2011-02-24,45.330002,45.450001,44.950001,45.389999,35.083839,18214800
2011-02-25,45.840000,46.029999,45.650002,46.009998,35.563061,19346700
2011-02-28,46.150002,46.419998,46.070000,46.410000,35.872246,17197000
2011-03-01,46.689999,46.759998,45.869999,45.930000,35.501225,29526500
2011-03-02,46.099998,46.619999,46.090000,46.570000,35.995918,23243200
2011-03-03,47.169998,47.520000,47.049999,47.439999,36.668373,26910400
2011-03-04,47.500000,47.700001,47.080002,47.389999,36.629726,19880900
2011-03-07,47.549999,47.570000,46.650002,46.820000,36.189152,18600700
2011-03-08,47.209999,47.619999,46.860001,47.340000,36.591076,29313700
2011-03-09,47.320000,47.520000,47.110001,47.349998,36.598816,21133100
2011-03-10,46.520000,46.590000,46.000000,46.040001,35.586254,22350700
2011-03-11,45.759998,46.560001,45.750000,46.369999,35.841328,18564500
2011-03-14,46.270000,46.790001,46.150002,46.720001,36.111855,26666000
2011-03-15,44.880001,46.160000,44.869999,45.980000,35.539875,38708900
2011-03-16,45.970001,46.060001,44.669998,44.990002,34.774658,36046100
2011-03-17,45.680000,45.820000,45.349998,45.599998,35.246159,19433200
2011-03-18,46.090000,46.090000,45.689999,45.740002,35.354370,23674900
2011-03-21,46.540001,46.700001,46.470001,46.560001,35.988182,13216800
2011-03-22,46.650002,46.720001,46.480000,46.610001,36.026821,19705200
2011-03-23,46.770000,47.330002,46.610001,47.209999,36.490593,17444200
2011-03-24,47.509998,47.840000,47.270000,47.790001,36.938908,20910900
2011-03-25,47.730000,48.000000,47.599998,47.790001,36.938908,19629900
2011-03-28,47.689999,47.810001,47.459999,47.509998,36.722469,21712600
2011-03-29,47.730000,48.040001,47.529999,47.980000,37.085758,14602200
2011-03-30,48.439999,48.740002,48.400002,48.570000,37.541801,23649000
2011-03-31,48.889999,49.090000,48.830002,48.950001,37.835506,22962900
2011-04-01,49.570000,49.889999,49.369999,49.750000,38.453869,29832400
2011-04-04,49.980000,50.230000,49.840000,50.209999,38.809429,14661100
2011-04-05,49.919998,50.340000,49.869999,50.070000,38.701202,21920500
2011-04-06,50.529999,50.610001,50.259998,50.299999,38.878990,25131800
2011-04-07,50.340000,50.580002,50.029999,50.290001,38.871262,18994600
2011-04-08,50.549999,50.599998,50.110001,50.369999,38.933086,18156400
2011-04-11,50.250000,50.310001,49.660000,49.799999,38.492512,13228700
2011-04-12,49.410000,49.480000,48.799999,48.910000,37.804588,23547400
2011-04-13,49.750000,49.799999,49.029999,49.240002,38.059669,14397000
2011-04-14,49.130001,49.560001,48.980000,49.529999,38.283825,17901400
2011-04-15,49.480000,49.619999,49.220001,49.549999,38.299290,15413400
2011-04-18,48.599998,48.630001,48.020000,48.400002,37.410397,17958700
2011-04-19,48.810001,49.099998,48.730000,49.049999,37.912811,11405600
2011-04-20,50.150002,50.310001,49.959999,50.279999,38.863522,13698900
2011-04-21,50.549999,50.720001,50.310001,50.709999,39.195881,10812700
2011-04-25,50.619999,50.660000,50.150002,50.279999,38.863522,12968700
2011-04-26,50.459999,50.720001,50.189999,50.669998,39.164967,14601100
2011-04-27,50.610001,50.720001,49.950001,50.660000,39.157242,17954200
2011-04-28,50.230000,50.320000,49.959999,50.240002,38.832611,13139300
2011-04-29,50.310001,50.680000,50.220001,50.599998,39.110867,13366800
2011-05-02,50.790001,50.919998,50.369999,50.520000,39.049042,16920600
2011-05-03,49.810001,49.869999,49.130001,49.490002,38.252899,28514100
2011-05-04,49.330002,49.340000,48.360001,48.599998,37.564983,35558400
2011-05-05,48.209999,48.560001,47.709999,48.090000,37.170792,33800000
2011-05-06,48.820000,49.299999,48.389999,48.740002,37.673206,28356800
2011-05-09,48.740002,48.970001,48.439999,48.869999,37.773670,14276200
2011-05-10,49.000000,49.380001,48.930000,49.290001,38.098309,22756100
2011-05-11,49.040001,49.040001,48.099998,48.389999,37.402672,23333400
2011-05-12,47.980000,48.570000,47.730000,48.389999,37.402672,25494400
2011-05-13,48.270000,48.340000,47.150002,47.419998,36.652908,39648700
2011-05-16,47.250000,47.930000,47.220001,47.410000,36.645187,16040600
2011-05-17,47.169998,47.630001,47.000000,47.630001,36.815239,21527000
2011-05-18,47.930000,48.410000,47.730000,48.320000,37.348564,9276800
2011-05-19,48.250000,48.259998,47.779999,48.080002,37.163063,14876400
2011-05-20,47.919998,47.990002,47.480000,47.709999,36.877064,19138000
2011-05-23,46.590000,46.799999,46.439999,46.730000,36.119579,20700000
2011-05-24,47.160000,47.299999,46.959999,47.130001,36.428761,20220000
2011-05-25,46.900002,47.380001,46.860001,47.240002,36.513783,23566600
2011-05-26,47.410000,47.849998,47.340000,47.820000,36.962078,11640900
2011-05-27,48.200001,48.430000,48.119999,48.299999,37.333103,16645700
2011-05-31,49.110001,49.169998,48.779999,49.110001,37.959187,20600000
2011-06-01,49.009998,49.169998,48.330002,48.400002,37.410397,20522900
2011-06-02,48.709999,48.910000,48.310001,48.820000,37.735031,9586100
2011-06-03,48.279999,48.790001,48.250000,48.520000,37.503151,20651200
2011-06-06,48.480000,48.480000,47.790001,47.869999,37.000740,13755500
2011-06-07,48.490002,48.669998,48.240002,48.250000,37.294456,14277000
2011-06-08,48.130001,48.230000,47.810001,47.939999,37.054840,14125500
2011-06-09,47.950001,48.380001,47.799999,48.209999,37.263535,21468000
2011-06-10,47.680000,47.700001,47.090000,47.220001,36.498322,17367400
2011-06-13,47.419998,47.500000,46.970001,47.130001,36.428761,14065100
2011-06-14,47.720001,48.009998,47.709999,47.799999,36.946636,13857000
2011-06-15,47.169998,47.450001,46.750000,46.860001,36.220066,24708800
2011-06-16,46.590000,46.849998,46.099998,46.490002,35.934086,17614600
2011-06-17,46.799999,46.810001,46.419998,46.570000,35.995918,27241700
2011-06-20,46.299999,46.529999,46.220001,46.439999,35.895424,12113800
2011-06-21,46.830002,47.330002,46.790001,47.250000,36.521511,17198900
2011-06-22,46.900002,47.270000,46.820000,46.880001,36.235523,19447500
2011-06-23,46.240002,46.680000,45.939999,46.639999,36.050018,19640900
2011-06-24,46.970001,47.020000,46.570000,46.639999,36.050018,12697100
2011-06-27,46.669998,47.230000,46.580002,47.060001,36.374649,14577200
2011-06-28,47.169998,47.709999,47.029999,47.669998,36.846153,14198300
2011-06-29,47.790001,48.200001,47.570000,48.070000,37.155323,21791700
2011-06-30,48.330002,48.650002,48.209999,48.619999,37.580437,24351400
2011-07-01,48.599998,49.290001,48.540001,49.180000,38.013287,14643700
2011-07-05,49.259998,49.299999,48.990002,49.049999,37.912811,15211900
2011-07-06,48.910000,48.980000,48.610001,48.919998,37.812321,17959600
2011-07-07,49.410000,49.650002,49.349998,49.509998,38.268345,13856900
2011-07-08,48.990002,49.000000,48.529999,49.000000,37.874161,16989400
2011-07-11,48.070000,48.189999,47.549999,47.599998,36.792049,29405800
2011-07-12,47.340000,47.610001,47.110001,47.180000,36.467403,15201200
2011-07-13,47.599998,48.310001,47.470001,47.889999,37.016193,22930200
2011-07-14,48.200001,48.209999,47.320000,47.459999,36.683826,26887500
2011-07-15,47.910000,47.919998,47.459999,47.730000,36.892525,23968200
2011-07-18,47.290001,47.369999,46.880001,47.189999,36.475140,17944400
2011-07-19,47.549999,47.939999,47.389999,47.869999,37.000740,14880600
2011-07-20,48.099998,48.169998,47.889999,47.970001,37.078026,13645200
2011-07-21,48.200001,48.750000,48.080002,48.639999,37.595905,12279700
2011-07-22,48.680000,48.830002,48.439999,48.680000,37.626812,17812500
2011-07-25,48.340000,48.779999,48.230000,48.619999,37.580437,17815300
2011-07-26,48.900002,49.060001,48.610001,48.830002,37.742752,20568800
2011-07-27,48.630001,48.669998,47.900002,48.060001,37.147591,16224900
2011-07-28,48.250000,48.490002,47.930000,48.110001,37.186249,16963800
2011-07-29,47.740002,48.410000,47.610001,48.320000,37.348564,29921100
2011-08-01,48.840000,48.869999,47.840000,48.279999,37.317646,23282200
2011-08-02,47.880001,47.930000,46.849998,46.869999,36.227795,19827200
2011-08-03,46.900002,46.910000,45.849998,46.660000,36.065475,57941000
2011-08-04,45.400002,45.520000,43.939999,43.990002,34.001720,53168500
2011-08-05,44.279999,44.360001,42.360001,43.650002,33.738922,53412100
2011-08-08,41.790001,42.320000,39.639999,40.130001,31.018166,84218900
2011-08-09,41.070000,42.349998,39.750000,42.270000,32.672256,70857000
2011-08-10,41.080002,41.439999,40.090000,40.090000,30.987244,45774500
2011-08-11,41.040001,42.910000,40.730000,42.400002,32.772743,48216500
2011-08-12,42.459999,42.680000,41.900002,42.369999,32.749557,30435800
2011-08-15,43.020000,43.419998,43.009998,43.389999,33.537952,20611900
2011-08-16,42.950001,43.230000,42.410000,42.910000,33.166943,26005100
2011-08-17,43.240002,43.660000,42.939999,43.200001,33.391094,28824000
2011-08-18,41.740002,41.810001,40.720001,41.369999,31.976608,31123900
2011-08-19,40.790001,41.799999,40.669998,40.740002,31.489660,34652400
2011-08-22,41.410000,41.590000,40.580002,40.700001,31.458752,17535200
2011-08-23,41.220001,42.139999,40.840000,42.099998,32.540844,25261700
